Id,BBPB,BBW,CBSP,CLSP,CUSP,IIN,TC,V,PCP,CP
20,0.799,0.0153,83,17,0,5,97,48,-0.05,13699900
21,0.8578,0.0158,0,22,78,5,125,192,0.16,13721200
22,0.8212,0.0162,1,0,99,5,78,54,0,13721300
23,0.7418,0.0162,49,2,49,5,59,80,-0.09,13709400
24,0.7595,0.0158,41,50,9,5,50,63,0.07,13719000
25,0.7721,0.0151,21,60,19,5,64,45,0.06,13726800
26,0.8071,0.0146,100,0,0,5,33,7,0.09,13739500
27,0.4959,0.0135,50,0,49,5,116,23,-0.42,13681800
28,0.5409,0.0111,41,1,58,5,35,8,0.1,13695100
29,0.6323,0.0091,47,2,50,5,32,26,0.12,13711300
30,0.6177,0.0082,32,5,63,5,61,35,0,13711900
31,0.4081,0.0079,100,0,0,5,55,17,-0.16,13690100
32,0.3792,0.0071,1,32,68,5,90,19,0,13690500
33,0.0545,0.0061,42,15,43,5,101,23,-0.17,13666700
34,0.0738,0.0065,76,24,0,5,36,15,-0.01,13664900
35,0.0794,0.0067,19,35,45,5,48,11,-0.01,13663700
36,0.0602,0.0069,18,77,5,5,76,33,-0.03,13660100
37,-0.0062,0.0076,76,2,22,5,29,11,-0.11,13644900
38,0.2229,0.0075,58,1,41,5,64,24,0.15,13665900
39,0.1195,0.008,47,12,40,5,26,10,-0.12,13650000
40,0.0533,0.0088,22,44,34,5,100,30,-0.11,13634900
41,-0.009,0.0096,56,4,40,5,62,41,-0.14,13616400
42,-0.0753,0.0109,44,23,32,5,75,34,-0.19,13591000
43,-0.0476,0.0123,26,32,43,5,58,10,-0.1,13577700
44,0.2073,0.0124,63,13,24,5,28,13,0.28,13615500
45,0.104,0.0125,62,8,30,5,50,48,-0.18,13590500
46,0.1901,0.0117,12,23,65,5,44,11,0.08,13601600
47,0.298,0.0118,5,59,36,5,39,19,0.1,13615500
48,0.318,0.0115,10,89,1,5,31,13,0,13615400
49,0.0915,0.0114,95,5,0,5,56,37,-0.31,13573600
50,0.0643,0.0112,28,4,69,5,50,18,-0.08,13563400
51,0.1348,0.011,14,40,46,5,71,23,0.04,13568700
52,0.1266,0.0107,50,35,14,5,48,26,-0.04,13562700
