BBPW,BBW,IntervalInMinute,TC,V,PCP
0.2914,0.0123,5,78,36,-0.25
0.4474,0.0121,5,50,17,0.2
0.6476,0.0106,5,74,15,0.26
0.5362,0.0099,5,90,177,-0.1
0.7339,0.0101,5,89,53,0.22
0.5908,0.0101,5,61,32,-0.14
0.5282,0.0101,5,30,9,-0.06
0.452,0.0092,5,62,19,-0.05
0.4307,0.0086,5,73,132,0
0.4694,0.008,5,39,65,0.05
0.1261,0.008,5,53,42,-0.27
0.2572,0.0081,5,40,69,0.1
0.2767,0.0083,5,18,35,0
0.7281,0.0084,5,72,26,0.39
0.7741,0.0084,5,62,14,0.03
1.2077,0.0089,5,117,44,0.4
1.0761,0.0104,5,67,89,0
0.9159,0.0111,5,63,108,-0.12
0.834,0.0117,5,36,124,-0.06
0.5974,0.0116,5,58,23,-0.26
0.6248,0.0107,5,22,4,0.05
0.6052,0.0104,5,53,20,0
0.4592,0.0103,5,15,7,-0.15
0.3436,0.0103,5,23,8,-0.12
0.5063,0.0103,5,27,8,0.17
0.3338,0.0104,5,51,11,-0.18
0.3143,0.0105,5,55,20,-0.02
0.2619,0.0106,5,31,19,-0.06
0.1881,0.0109,5,84,44,-0.09
0.1945,0.0112,5,30,6,-0.02
0.1163,0.0113,5,29,12,-0.09
0.2455,0.0113,5,44,13,0.15
0.1819,0.0115,5,79,33,-0.08
0.4317,0.0115,5,67,20,0.28
0.7162,0.0116,5,113,35,0.34
0.4935,0.0106,5,33,15,-0.29
0.5523,0.0093,5,49,13,0.03
0.7751,0.0085,5,58,24,0.17
1.0812,0.009,5,109,125,0.29
1.1309,0.0109,5,103,14,0.19
0.921,0.0117,5,53,18,-0.18
0.8535,0.0123,5,15,5,-0.04
0.9221,0.0133,5,39,25,0.16
0.7816,0.0137,5,55,16,-0.15
0.8632,0.0145,5,43,9,0.17
0.7155,0.0147,5,39,11,-0.18
0.4822,0.0145,5,62,17,-0.33
0.4349,0.0141,5,74,41,-0.05
0.4395,0.0135,5,48,34,0.03
0.5261,0.0127,5,73,35,0.14
0.6563,0.0115,5,68,39,0.19
0.6123,0.0105,5,54,51,-0.03
0.4884,0.0088,5,52,13,-0.1
0.255,0.0083,5,75,46,-0.18
0.1198,0.0088,5,133,87,-0.15
0.0279,0.0092,5,56,19,-0.11
0.3297,0.0089,5,43,21,0.29
0.1823,0.0093,5,48,30,-0.15
0.4207,0.0091,5,61,51,0.21
0.4412,0.0085,5,34,39,0
0.2118,0.0085,5,24,15,-0.22
0.2472,0.0085,5,66,27,0.01
0.2788,0.0079,5,51,15,0.01
0.1629,0.0079,5,69,111,-0.12
0.0605,0.0072,5,88,20,-0.09
0.1724,0.0068,5,30,4,0.06
0.0725,0.0074,5,36,9,-0.11
0.3463,0.0075,5,80,37,0.2
0.4621,0.0075,5,48,24,0.08
0.6703,0.0074,5,49,69,0.15
0.7012,0.0067,5,34,60,0
0.7392,0.006,5,64,17,0
0.9772,0.0061,5,81,101,0.15
0.9562,0.0066,5,34,38,0.02
0.5015,0.0066,5,100,67,-0.3
0.4068,0.0064,5,30,40,-0.05
0.4109,0.0064,5,37,59,-0.01
0.5664,0.0064,5,48,54,0.1
0.6346,0.0062,5,51,22,0.04
0.6553,0.0061,5,48,31,0.01
0.6108,0.0061,5,41,11,-0.02
0.6393,0.0062,5,61,21,0.03
0.9142,0.0066,5,66,15,0.21
1.036,0.0074,5,82,26,0.15
1.2326,0.0092,5,213,52,0.33
1.3227,0.0134,5,442,171,0.5
1.1639,0.016,5,237,68,0.04
1.0432,0.018,5,115,117,-0.01
1.0141,0.02,5,106,109,0.13
0.8862,0.0213,5,81,15,-0.15
0.9021,0.0226,5,95,44,0.15
0.7547,0.0229,5,45,24,-0.27
0.7961,0.0236,5,69,23,0.17
0.7965,0.0243,5,79,25,0.08
0.7126,0.024,5,53,10,-0.15
0.659,0.023,5,51,71,-0.08
0.6582,0.0218,5,82,44,0.04
0.7531,0.021,5,68,38,0.26
0.785,0.0202,5,101,33,0.12
0.7735,0.0189,5,47,10,0.02
0.6571,0.0165,5,60,18,-0.19
0.6338,0.0134,5,50,65,-0.01
0.677,0.0104,5,63,88,0.06
0.7575,0.0072,5,24,5,0.06
0.9043,0.0054,5,98,31,0.07
0.922,0.0057,5,79,18,0.04
0.8942,0.0061,5,86,43,0.02
0.6286,0.006,5,66,74,-0.15
0.938,0.0066,5,57,28,0.23
0.7935,0.0067,5,37,28,-0.07
1.1162,0.0081,5,190,167,0.33
1.0688,0.0087,5,45,18,0.04
0.9667,0.0094,5,68,23,-0.02
0.61,0.0094,5,79,47,-0.32
0.6633,0.009,5,90,38,0.07
0.5771,0.008,5,78,35,-0.06
0.5935,0.0071,5,69,46,0.03
0.4468,0.0069,5,56,44,-0.1
0.5232,0.0069,5,44,26,0.06
0.453,0.0068,5,71,63,-0.05
-0.2072,0.0085,5,310,88,-0.59
-0.2284,0.011,5,233,88,-0.23
-0.0158,0.0124,5,78,51,0.14
-0.034,0.0142,5,77,52,-0.16
0.1924,0.0148,5,83,92,0.28
0.2162,0.0153,5,89,17,-0.01
0.2334,0.0157,5,56,94,-0.01
0.1667,0.0165,5,159,48,-0.16
0.2855,0.0166,5,49,73,0.16
0.3013,0.0167,5,28,13,-0.01
0.2349,0.0163,5,72,23,-0.15
0.4422,0.015,5,74,21,0.31
